,C,H,O,heat_rate,T,mass_porc,biomass_SD
391,44.71,1.48,49.33,10,670.940740740725,6.17608409986867,True
392,44.71,1.48,49.33,15,74.1846153846169,97.4710672953279,True
393,44.71,1.48,49.33,15,776.73846153845,2.95756536648088,True
394,44.71,1.48,49.33,5,254.135216346154,86.1024498886414,True
395,44.71,1.48,49.33,5,356.088341346154,32.739420935412,True
396,44.71,1.48,49.33,15,43.3230769230782,98.7141020145735,True
397,44.71,1.48,49.33,15,101.415384615386,95.8851264466352,True
398,44.71,1.48,49.33,15,459.953846153842,14.7449635662238,True
399,44.71,1.48,49.33,10,616.881481481467,7.70915462111265,True
400,44.71,1.48,49.33,10,539.088888888877,9.6802452912834,True
401,44.71,1.48,49.33,5,504.810028846154,8.86414253897557,True
402,44.71,1.48,49.33,10,699.948148148132,5.60665790626369,True
403,44.71,1.48,49.33,10,748.074074074056,4.16119141480503,True
404,44.71,1.48,49.33,15,488.999999999995,13.4590655807972,True
405,44.71,1.48,49.33,15,459.04615384615,14.7878268324046,True
406,44.71,1.48,49.33,15,884.75384615383,0.857265323617641,True
407,44.71,1.48,49.33,5,102.611778846154,95.1447661469932,True
408,44.71,1.48,49.33,5,139.525841346154,94.2093541202672,True
409,44.71,1.48,49.33,15,877.4923076923,1.15730818688388,True
410,44.71,1.48,49.33,5,306.869591346154,53.2739420935413,True
411,44.71,1.48,49.33,10,212.096296296291,92.1594393342093,True
412,44.71,1.48,49.33,15,150.43076923077,94.0848692670381,True
413,44.71,1.48,49.33,15,587.030769230763,9.77282468924138,True
414,44.71,1.48,49.33,5,524.635028846155,8.68596881959912,True
415,44.71,1.48,49.33,5,305.463341346154,54.1648106904232,True
416,44.71,1.48,49.33,15,311.092307692306,60.6515216459493,True
