,C,H,O,heat_rate,T,mass_porc,biomass_EU
1663,61.93,0.91,35.47,10,571.299999999986,46.2915601023018,True
1664,61.93,0.91,35.47,10,91.5999999999977,97.1696504688833,True
1665,61.93,0.91,35.47,20,134.039999999998,98.6224934612031,True
1666,61.93,0.91,35.47,10,669.399999999983,38.5848252344416,True
1667,61.93,0.91,35.47,10,771.099999999987,31.5942028985508,True
1668,61.93,0.91,35.47,10,472.299999999988,52.770673486786,True
1669,61.93,0.91,35.47,15,703.859999999991,37.1074668527564,True
1670,61.93,0.91,35.47,20,211.119999999998,97.2449869224063,True
1671,61.93,0.91,35.47,15,608.999999999993,42.2191207257502,True
1672,61.93,0.91,35.47,10,713.499999999982,34.9872122762148,True
1673,61.93,0.91,35.47,15,689.579999999991,38.119330076762,True
1674,61.93,0.91,35.47,15,569.219999999993,44.3998604326588,True
1675,61.93,0.91,35.47,15,347.879999999997,83.6706210746685,True
1676,61.93,0.91,35.47,15,284.639999999998,88.8171667829728,True
1677,61.93,0.91,35.47,10,819.699999999991,28.45694799659,True
1678,61.93,0.91,35.47,10,353.499999999991,60.153452685422,True
1679,61.93,0.91,35.47,10,640.599999999984,41.0912190963342,True
1680,61.93,0.91,35.47,10,564.999999999986,47.2975277067349,True
1681,61.93,0.91,35.47,10,660.399999999983,39.2156862745098,True
1682,61.93,0.91,35.47,15,880.319999999988,13.7124912770412,True
1683,61.93,0.91,35.47,15,327.479999999998,86.1130495464062,True
1684,61.93,0.91,35.47,20,384.959999999996,85.6320836965999,True
1685,61.93,0.91,35.47,15,181.62,96.2840195394278,True
1686,61.93,0.91,35.47,20,562.079999999995,50.7061900610288,True
1687,61.93,0.91,35.47,20,253.759999999997,95.3792502179599,True
1688,61.93,0.91,35.47,10,502.899999999987,51.4748508098892,True
1689,61.93,0.91,35.47,10,531.699999999987,49.9573742540495,True
1690,61.93,0.91,35.47,10,443.499999999989,54.1176470588235,True
1691,61.93,0.91,35.47,15,848.699999999988,15.3000697836706,True
1692,61.93,0.91,35.47,20,580.119999999995,49.4158674803836,True
1693,61.93,0.91,35.47,10,255.399999999994,84.9616368286445,True
1694,61.93,0.91,35.47,20,412.839999999996,84.0453356582389,True
1695,61.93,0.91,35.47,10,555.999999999986,48.3716965046888,True
1696,61.93,0.91,35.47,10,332.799999999992,63.9045183290708,True
1697,61.93,0.91,35.47,15,473.339999999995,52.8436845778088,True
1698,61.93,0.91,35.47,15,756.89999999999,28.7508722958828,True
1699,61.93,0.91,35.47,20,225.879999999998,96.9834350479512,True
1700,61.93,0.91,35.47,20,56.959999999999,99.6512641673932,True
1701,61.93,0.91,35.47,20,94.6799999999987,99.285091543156,True
1702,61.93,0.91,35.47,15,371.339999999997,75.5233775296581,True
1703,61.93,0.91,35.47,15,570.239999999993,44.2951849267272,True
1704,61.93,0.91,35.47,15,295.859999999998,88.4682484298675,True
1705,61.93,0.91,35.47,20,840.879999999994,32.0313862249346,True
1706,61.93,0.91,35.47,15,224.459999999999,93.702023726448,True
1707,61.93,0.91,35.47,10,852.999999999995,25.149190110827,True
1708,61.93,0.91,35.47,10,479.499999999988,52.4808184143223,True
1709,61.93,0.91,35.47,10,689.199999999983,36.8797953964194,True
