,C,H,O,heat_rate,T,mass_porc,biomass_ESP
2853,41.67,5.28,39.77,10,753,5.81041,True
2854,41.67,5.28,39.77,10,62,100.0839,True
2855,41.67,5.28,39.77,20,841,6.27764819432151,True
2856,41.67,5.28,39.77,10,801,5.66467,True
2857,41.67,5.28,39.77,10,41,100.0,True
2858,41.67,5.28,39.77,20,288,67.3851845893992,True
2859,41.67,5.28,39.77,10,563,6.65383,True
2860,41.67,5.28,39.77,20,212,98.4919166733692,True
2861,41.67,5.28,39.77,15,37,100.0,True
2862,41.67,5.28,39.77,15,600,6.92506,True
2863,41.67,5.28,39.77,15,878,5.01101,True
2864,41.67,5.28,39.77,15,322,32.20921,True
2865,41.67,5.28,39.77,20,849,6.23743263894478,True
2866,41.67,5.28,39.77,15,599,6.92778,True
2867,41.67,5.28,39.77,15,205,98.06318,True
2868,41.67,5.28,39.77,10,67,100.12518,True
2869,41.67,5.28,39.77,10,206,97.13274,True
2870,41.67,5.28,39.77,10,200,97.67769,True
2871,41.67,5.28,39.77,15,212,97.46726,True
2872,41.67,5.28,39.77,20,646,7.02163596879265,True
2873,41.67,5.28,39.77,10,179,99.03396,True
2874,41.67,5.28,39.77,10,347,20.11255,True
2875,41.67,5.28,39.77,20,122,99.8592455561812,True
2876,41.67,5.28,39.77,20,61,100.0,True
2877,41.67,5.28,39.77,15,609,6.91334,True
2878,41.67,5.28,39.77,10,623,5.88952,True
2879,41.67,5.28,39.77,20,196,99.5777366685434,True
2880,41.67,5.28,39.77,20,549,8.46939596235822,True
2881,41.67,5.28,39.77,10,365,17.85802,True
2882,41.67,5.28,39.77,15,821,5.01101,True
2883,41.67,5.28,39.77,15,788,5.23497,True
2884,41.67,5.28,39.77,10,239,92.27248,True
2885,41.67,5.28,39.77,10,557,6.67918,True
2886,41.67,5.28,39.77,10,603,6.09275,True
2887,41.67,5.28,39.77,10,855,6.2218,True
2888,41.67,5.28,39.77,10,289,40.53491,True
2889,41.67,5.28,39.77,15,839,5.01101,True
2890,41.67,5.28,39.77,20,302,47.800209120888,True
2891,41.67,5.28,39.77,15,524,8.2076,True
2892,41.67,5.28,39.77,15,666,6.70446,True
2893,41.67,5.28,39.77,15,516,8.65531,True
2894,41.67,5.28,39.77,10,434,9.74151,True
2895,41.67,5.28,39.77,20,349,26.9886592133837,True
2896,41.67,5.28,39.77,15,308,40.42004,True
2897,41.67,5.28,39.77,15,639,6.84311,True
2898,41.67,5.28,39.77,15,786,5.27621,True
2899,41.67,5.28,39.77,15,619,6.89411,True
2900,41.67,5.28,39.77,15,671,6.69347,True
2901,41.67,5.28,39.77,20,837,6.27764819432151,True
2902,41.67,5.28,39.77,10,814,5.77882,True
2903,41.67,5.28,39.77,10,288,45.30359,True
2904,41.67,5.28,39.77,15,802,4.99177,True
2905,41.67,5.28,39.77,10,594,6.23788,True
2906,41.67,5.28,39.77,10,483,7.1729,True
2907,41.67,5.28,39.77,10,217,96.25905,True
2908,41.67,5.28,39.77,10,737,5.7267,True
2909,41.67,5.28,39.77,15,71,100.03924,True
2910,41.67,5.28,39.77,15,311,38.09417,True
2911,41.67,5.28,39.77,15,597,6.94319,True
2912,41.67,5.28,39.77,10,64,100.11095,True
2913,41.67,5.28,39.77,20,434,15.9494892624467,True
2914,41.67,5.28,39.77,10,102,99.49235,True
2915,41.67,5.28,39.77,15,61,100.00967,True
2916,41.67,5.28,39.77,15,769,6.12113,True
2917,41.67,5.28,39.77,10,842,6.20277,True
2918,41.67,5.28,39.77,10,399,13.13416,True
2919,41.67,5.28,39.77,10,229,94.956,True
2920,41.67,5.28,39.77,20,676,6.80045041422023,True
2921,41.67,5.28,39.77,15,663,6.73414,True
2922,41.67,5.28,39.77,15,627,6.87942,True
2923,41.67,5.28,39.77,20,295,57.5122657443899,True
2924,41.67,5.28,39.77,20,120,99.8793533338695,True
2925,41.67,5.28,39.77,10,38,100.0,True
2926,41.67,5.28,39.77,15,889,5.01101,True
2927,41.67,5.28,39.77,15,38,100.0,True
2928,41.67,5.28,39.77,20,335,30.0852569773989,True
2929,41.67,5.28,39.77,10,403,12.67208,True
2930,41.67,5.28,39.77,20,383,21.3584814606289,True
2931,41.67,5.28,39.77,15,273,75.46411,True
2932,41.67,5.28,39.77,10,468,7.71851,True
2933,41.67,5.28,39.77,20,297,53.8928657604762,True
2934,41.67,5.28,39.77,10,177,99.23013,True
2935,41.67,5.28,39.77,20,229,96.320276683021,True
2936,41.67,5.28,39.77,10,817,5.73459,True
2937,41.67,5.28,39.77,10,223,95.67558,True
2938,41.67,5.28,39.77,10,39,100.0,True
2939,41.67,5.28,39.77,20,765,6.47872597120571,True
2940,41.67,5.28,39.77,10,346,20.21795,True
